FirstName,LastName,JerseyNumber,Position,Height,Weight,AcademicYear,Hometown,Highschool
Henry,Hunt,1,Goaltender,6-2,200,Freshman,"Cedarburg, Wis.",Potomac Patriots
Lukas,Klemm,2,Defense,6-1,200,Freshman,"Stamford, Conn.",Johnstown Tomahawks (NAHL)
John,Larkin,3,Defense,6-2,195,Senior,"Northville, Mich.",Ohio State (BIG 10)
Jaryd,Sych,4,Defense,6-2,205,Junior,"Riceton, Sa.",Notre Dame Hounds (SJHL)
Caleb,Price,5,Defense,5-10,175,Graduate Student,"Hooksett, N.H.",New Jersey Jr. Titans (NAHL)
Trent,Sambrook,6,Defense,5-10,170,Junior,"Medora, Man.",Winkler Flyers (MJHL)
Tyler,DesRochers,7,Defense,6-0,180,Junior,"Howell, N.J.",Johnstown Tomahawks (NAHL)
Brendan,Lamb,8,Forward,5-10,180,Sophomore,"Battle Creek, Mi",Madison Capitols (USHL)
Sean,James,9,Forward,6-0,197,Junior,"Almonte, Ont.",Smith's Falls Bears (CCHL)
Francesco,Iasenza,10,Defense,6-1,208,Freshman,"Montréal, Québec",Victoriaville Tigres (QMJHL)
Barrett,Brooks,11,Forward,5-7,170,Senior,"Stevens Point, Wi.",Madison Capitals (USHL)
Andrew,LeBlanc,14,Forward,6-0,186,Freshman,"Wainfleet, Ontario",North Bay Battalion (OHL)
Dominik,Bartecko,15,Forward,5-9,175,Sophomore,"Nashville, Tn.",New Jersey Titans (NAHL)
Ryan,Coughlin,16,Forward,6-0,180,Senior,"Charlotte, N.C.",New Jersey Jr. Titans (NAHL)
Jacob,LeBlanc,18,Defense,6-1,192,Freshman,"Wainfleet, Ontario",North Bay Battalion (OHL)
Riley,Fitzgerald,19,Forward,5-10,165,Sophomore,"Wilmington, MA",New Jersey Titans (NAHL)
Kaden,Muir,20,Defense,6-2,190,Sophomore,"Toronto, Ont.",Austin Bruins (NAHL)
Will,Schumacher,21,Forward,5-11,175,Freshman,"Prior Lake, Minn.",Victoria Grizzlies (BCHL)
Noah,Sedore,22,Forward,5-9,170,Junior,"Sharon, Ontario",Erie Otters (OHL)
Christian,Kocsis,23,Forward,5-10,174,Sophomore,"Middletown, NJ",Omaha Lancers (USHL)
Matteo,Disipio,24,Forward,6-0,170,Sophomore,"Ottawa, Ont.",Rochester Jr Americans (NAHL)
Spencer,Smith,26,Forward,5-9,175,Junior,"St. Catharines, Ont.",Penticton Vees (BCHL)
Alexander,Dimitriadis,27,Forward,5-10,180,Freshman,"Richmond Hill, Ontario",Sherwood Park Crusaders (BCHL)
Tyler,Nasca,28,Defense,5-10,175,Senior,"Wheatfield, N.Y.",Lone Star Brahmas (NAHL)
Charles-Edward,Gravel,29,Goaltender,6-1,197,Freshman,"Lévis, Quebec",Prince George Spruce Kings (BCHL)
Salvatore,Evola,33,Goaltender,5-11,175,Senior,"Rochester, Mich.",Johnstown Tomahawks (NAHL)
Joey,Serpa,34,Forward,6-1,170,Junior,"Cambridge, Ontario",Oshawa General (OHL)
Connor,Pelc,37,Forward,6-2,190,Junior,"Hamburg, N.Y.",Sioux Falls Stampede (USHL)
Tyler,Haskins,43,Forward,6-1,190,Redshirt Senior,"Rochester, Minn.",Minnesota State (CCHA)
Simon,Bucheler,44,Goaltender,6-2,190,Junior,"Saint-Laurent, Qc.",Shreveport Mudbugs (NAHL)
